        Frequency / MHz                Port 1 [1] (11)/arg,degrees
                  291.68                       -7.487826
                  291.94                      -8.1684041
                   292.2                      -8.8670148
                  292.46                      -9.5792427
                  292.72                      -10.300773
                  292.98                      -11.027474
                  293.24                      -11.755472
                   293.5                      -12.481195
                  293.76                      -13.201402
                  294.02                       -13.91321
                  294.28                      -14.614099
                  294.54                      -15.301924
                   294.8                      -15.974903
                  295.06                      -16.631587
                  295.32                      -17.270806
                  295.58                      -17.891605
                  295.84                      -18.493174
                   296.1                       -19.07478
                  296.36                       -19.63572
                  296.62                      -20.175263
                  296.88                      -20.692613
                  297.14                      -21.186848
                   297.4                       -21.65688
                  297.66                       -22.10142
                  297.92                      -22.518966
                  298.18                      -22.907819
                  298.44                      -23.266119
                   298.7                      -23.591886
                  298.96                      -23.883071
                  299.22                      -24.137606
                  299.48                      -24.353459
                  299.74                      -24.528712
                     300                      -24.661644

