        Frequency / MHz                Port 1 [1]/abs,linear
                  231.88                       213.23906
                  232.14                       215.75854
                   232.4                       217.74816
                  232.66                       220.10582
                  232.92                       223.36081
                  233.18                       227.50573
                  233.44                       232.13594
                   233.7                        236.7686
                  233.96                       241.15349
                  234.22                       245.39334
                  234.48                       249.81601
                  234.74                       254.71818
                     235                       260.17031
                  235.26                       265.99816
                  235.52                       271.92862
                  235.78                       277.78833
                  236.04                       283.61395
                   236.3                       289.60007
                  236.56                       295.93502
                  236.82                       302.65343
                  237.08                       309.61023
                  237.34                       316.58789
                   237.6                       323.45441
                  237.86                       330.25123
                  238.12                       337.14343
                  238.38                       344.27328
                  238.64                       351.63289
                   238.9                       359.05322
                  239.16                       366.31879
                  239.42                       373.32129
                  239.68                       380.13038
                  239.94                       386.92118
                   240.2                       393.81439
                  240.46                       400.75482
                  240.72                       407.52558
                  240.98                       413.89244
                  241.24                       419.76971
                   241.5                       425.27326
                  241.76                       430.61191
                  242.02                        435.9009
                  242.28                       441.04452
                  242.54                       445.78284
                   242.8                       449.87358
                  243.06                       453.27042
                  243.32                       456.15251
                  243.58                       458.77625
                  243.84                       461.26584
                   244.1                       463.50635
                  244.36                       465.22317
                  244.62                       466.19164
                  244.88                        466.4155
                  245.14                       466.13069
                   245.4                       465.62992
                  245.66                       465.04745
                  245.92                       464.26807
                  246.18                       463.02709
                  246.44                       461.12611
                   246.7                       458.59973
                  246.96                       455.70289
                  247.22                       452.73196
                  247.48                       449.82064
                  247.74                       446.86242
                     248                       443.61141
                  248.26                       439.88476
                  248.52                       435.71424
                  248.78                       431.33312
                  249.04                       427.01345
                   249.3                       422.88154
                  249.56                       418.84559
                  249.82                        414.6817
                  250.08                       410.21257
                  250.34                       405.44692
                   250.6                       400.57736
                  250.86                       395.84408
                  251.12                       391.37054
                  251.38                       387.08903
                  251.64                       382.80366
                   251.9                       378.34184
                  252.16                       373.68419
                  252.42                       368.97876
                  252.68                       364.43386
                  252.94                       360.17294
                   253.2                       356.15528
                  253.46                       352.21404
                  253.72                       348.18141
                  253.98                       344.01075
                  254.24                       339.80792
                   254.5                       335.75246
                  254.76                       331.97011
                  255.02                       328.44816
                  255.28                       325.04983
                  255.54                       321.61461
                   255.8                       318.07275
                  256.06                       314.49185
                  256.32                       311.02398
                  256.58                       307.79488
                  256.84                        304.8155
                   257.1                        301.9757
                  257.36                       299.12224
                  257.62                       296.16567
                  257.88                       293.13975
                  258.14                       290.17162
                   258.4                       287.38723
                  258.66                       284.82088
                  258.92                       282.39141
                  259.18                       279.95974
                  259.44                       277.42684
                   259.7                       274.80227
                  259.96                       272.19449
                  260.22                       269.73183
                  260.48                       267.47213
                  260.74                       265.36389
                     261                       263.28398
                  261.26                       261.12494
                  261.52                        258.8696
                  261.78                        256.5998
                  262.04                       254.43413
                   262.3                       252.44109
                  262.56                       250.58887
                  262.82                       248.76562
                  263.08                        246.8557
                  263.34                       244.81791
                   263.6                        242.7098
                  263.86                       240.64134
                  264.12                       238.69304
                  264.38                       236.85697
                  264.64                       235.04106
                   264.9                       233.13285
                  265.16                       231.07783
                  265.42                       228.91597
                  265.68                        226.7511
                  265.94                       224.67676
                   266.2                       222.71215
                  266.46                       220.79216
                  266.72                       218.81744
                  266.98                       216.72886
                  267.24                       214.55338
                   267.5                       212.38865
                  267.76                       210.33913
                  268.02                       208.44961
                  268.28                        206.6818
                  268.54                       204.94875
                   268.8                       203.18243
                  269.06                       201.38633
                  269.32                       199.63562
                  269.58                       198.02534
                  269.84                       196.60391
                   270.1                       195.33815
                  270.36                       194.13356
                  270.62                       192.89618
                  270.88                       191.59346
                  271.14                       190.27136
                   271.4                       189.01698
                  271.66                        187.8953
                  271.92                       186.90671
                  272.18                       185.99585
                  272.44                        185.1069
                   272.7                       184.24648
                  272.96                        183.5084
                  273.22                        183.0398
                  273.48                       182.96918
                  273.74                        183.3408
                     274                        184.0951
                  274.26                       185.10548
                  274.52                       186.24743
                  274.78                       187.45428
                  275.04                        188.7227
                   275.3                       190.06756
                  275.56                       191.46331
                  275.82                       192.81914
                  276.08                       194.01085
                  276.34                       194.94966
                   276.6                       195.63728
                  276.86                       196.16339
                  277.12                       196.64389
                  277.38                       197.14283
                  277.64                       197.63273
                   277.9                       198.02076
                  278.16                       198.22278
                  278.42                        198.2319
                  278.68                       198.13092
                  278.94                       198.03882
                   279.2                       198.03075
                  279.46                       198.08865
                  279.72                       198.11758
                  279.98                       198.01682
                  280.24                       197.75572
                   280.5                       197.39872
                  280.76                       197.06101
                  281.02                        196.8275
                  281.28                       196.69341
                  281.54                       196.56825
                   281.8                       196.34095
                  282.06                       195.96026
                  282.32                       195.47215
                  282.58                       194.98624
                  282.84                       194.59635
                   283.1                       194.31284
                  283.36                       194.05439
                  283.62                       193.70536
                  283.88                       193.19843
                  284.14                       192.56238
                   284.4                       191.89962
                  284.66                        191.3105
                  284.92                       190.81997
                  285.18                        190.3589
                  285.44                       189.81313
                   285.7                       189.10562
                  285.96                       188.25151
                  286.22                        187.3451
                  286.48                        186.4892
                  286.74                       185.71963
                     287                       184.97961
                  287.26                       184.16214
                  287.52                        183.1894
                  287.78                       182.06988
                  288.04                       180.88975
                   288.3                       179.74552
                  288.56                       178.66992
                  288.82                       177.60685
                  289.08                       176.45351
                  289.34                       175.13639
                   289.6                       173.65745
                  289.86                       172.06676
                  290.12                       170.37652
                  290.38                       168.48499
                  290.64                       166.18387
                   290.9                        163.2725
                  291.16                       159.71947
                  291.42                       155.75878
                  291.68                        151.8427
                  291.94                       148.47472
                   292.2                       146.01705
                  292.46                       144.56277
                  292.72                       143.92024
                  292.98                       143.71498
                  293.24                       143.56734
                   293.5                       143.25801
                  293.76                       142.78846
                  294.02                        142.3081
                  294.28                       141.97083
                  294.54                       141.82179
                   294.8                       141.78119
                  295.06                       141.72196
                  295.32                       141.57832
                  295.58                       141.40465
                  295.84                       141.34331
                   296.1                       141.52874
                  296.36                       141.99933
                  296.62                       142.67825
                  296.88                       143.43517
                  297.14                       144.18576
                   297.4                        144.9581
                  297.66                       145.87731
                  297.92                       147.07974
                  298.18                        148.6187
                  298.44                       150.42772
                   298.7                       152.36717
                  298.96                        154.3239
                  299.22                        156.2951
                  299.48                       158.39455
                  299.74                       160.77432
                     300                       163.51704

