        Frequency / MHz                S1,1/arg,degrees
                   176.5                         43.0005
               176.75999                       41.871389
                  177.02                       40.688344
                  177.28                       39.460333
               177.53999                       38.226582
                   177.8                       37.040697
                  178.06                       35.944041
               178.32001                       34.941698
                  178.58                       33.996453
                  178.84                       33.045422
               179.10001                       32.031983
                  179.36                       30.934399
                  179.62                       29.774196
                  179.88                        28.60115
                  180.14                       27.465428
               180.39999                       26.391668
                  180.66                       25.368832
                  180.92                       24.361189
               181.17999                       23.332835
                  181.44                       22.270878
                   181.7                       21.192417
               181.96001                       20.133849
                  182.22                       19.127678
                  182.48                       18.183801
               182.74001                       17.282544
                     183                       16.386587
               183.25999                       15.461835
                  183.52                       14.495991
                  183.78                       13.504084
               184.03999                       12.519553
                   184.3                       11.577369
                  184.56                       10.699335
               184.82001                       9.8874707
                  185.08                       9.1272983
                  185.34                       8.3975067
               185.60001                       7.6787519
                  185.86                       6.9578122
                  186.12                        6.227965
                  186.38                       5.4868075
                  186.64                       4.7364705
               186.89999                       3.9835099
                  187.16                       3.2389651
                  187.42                        2.514036
               187.67999                       1.8146793
                  187.94                       1.1371245
                   188.2                      0.46842167
               188.46001                     -0.20640102
                  188.72                     -0.89526665
                  188.98                       -1.593312
               189.24001                      -2.2855105
                   189.5                      -2.9562897
               189.75999                       -3.600185
                  190.02                      -4.2263771
                  190.28                      -4.8534974
               190.53999                      -5.4975028
                   190.8                      -6.1603591
                  191.06                      -6.8284063
               191.32001                      -7.4813177
                  191.58                      -8.1056513
                  191.84                      -8.7050143
               192.10001                      -9.2983666
                  192.36                      -9.9076197
                  192.62                      -10.542226
                  192.88                      -11.192187
                  193.14                      -11.834497
               193.39999                      -12.448175
                  193.66                      -13.029891
                  193.92                      -13.596795
               194.17999                       -14.17556
                  194.44                      -14.783828
                   194.7                      -15.417339
               194.96001                      -16.052003
                  195.22                      -16.659672
                  195.48                      -17.228216
               195.74001                      -17.770698
                     196                      -18.317495
               196.25999                      -18.895493
                  196.52                      -19.508406
                  196.78                      -20.133014
               197.03999                      -20.733906
                   197.3                      -21.287972
                  197.56                      -21.801384
               197.82001                       -22.30709
                  198.08                      -22.842249
                  198.34                      -23.421505
               198.60001                      -24.025073
                  198.86                      -24.610174
                  199.12                      -25.139873
                  199.38                      -25.609566
                  199.64                      -26.052549
               199.89999                      -26.517984
                  200.16                      -27.036094
                  200.42                      -27.593711
               200.67999                       -28.14073
                  200.94                      -28.622172
                   201.2                      -29.016577
               201.46001                      -29.354478
                  201.72                      -29.699976
                  201.98                      -30.104982
               202.24001                      -30.569325
                   202.5                      -31.035251
               202.75999                      -31.422716
                  203.02                      -31.684228
                  203.28                      -31.841815
               203.53999                      -31.979021
                   203.8                      -32.182123
                  204.06                      -32.474347
               204.32001                      -32.790282
                  204.58                      -33.012564
                  204.84                      -33.049338
               205.10001                      -32.906015
                  205.36                      -32.695532
                  205.62                      -32.564942
                  205.88                      -32.582863
                  206.14                      -32.676739
               206.39999                      -32.665261
                  206.66                      -32.375938
                  206.92                      -31.779032
               207.17999                      -31.047057
                  207.44                      -30.457089
                   207.7                      -30.183663
               207.96001                      -30.146725
                  208.22                      -30.033347
                  208.48                      -29.486931
               208.74001                      -28.395631
                     209                      -27.121937
               209.25999                      -26.405969
                  209.52                      -26.901348
                  209.78                       -28.77233
               210.03999                      -31.658167
                   210.3                      -34.839012
                  210.56                       -37.37099
               210.82001                      -38.182197
                  211.08                      -36.339796
                  211.34                      -31.779307
               211.60001                      -26.045278
                  211.86                      -21.412827
                  212.12                      -18.954286
                  212.38                      -18.243457
                  212.64                      -18.288153
               212.89999                      -18.228101
                  213.16                      -17.648628
                  213.42                      -16.666011
               213.67999                      -15.743551
                  213.94                      -15.297021
                   214.2                      -15.408216
               214.46001                      -15.842616
                  214.72                      -16.257618
                  214.98                        -16.4234
               215.24001                      -16.349689
                   215.5                       -16.25598
               215.75999                      -16.397392
                  216.02                      -16.880914
                  216.28                      -17.612125
               216.53999                       -18.38066
                   216.8                      -19.003028
                  217.06                      -19.435076
               217.32001                      -19.792486
                  217.58                      -20.261311
                  217.84                      -20.961706
               218.10001                      -21.869302
                  218.36                      -22.840774
                  218.62                      -23.711432
                  218.88                      -24.400078
                  219.14                      -24.958787
               219.39999                      -25.533344
                  219.66                       -26.25576
                  219.92                      -27.149313
               220.17999                      -28.112367
                  220.44                      -28.984009
                   220.7                      -29.644681
               220.96001                      -30.091976
                  221.22                       -30.44075
                  221.48                      -30.836848
               221.74001                      -31.343651
                     222                      -31.885256
               222.25999                      -32.283699
                  222.52                      -32.362058
                  222.78                      -32.054371
               223.03999                      -31.449925
                   223.3                      -30.723794
                  223.56                      -29.986954
               223.82001                      -29.173943
                  224.08                      -28.055324
                  224.34                      -26.372256
               224.60001                      -24.021413
                  224.86                      -21.164865
                  225.12                      -18.137886
                  225.38                      -15.188832
                  225.64                      -12.290099
               225.89999                       -9.198754
                  226.16                      -5.7131182
                  226.42                      -1.9302862
               226.67999                       1.7317335
                  226.94                       4.8246074
                   227.2                       7.2008573
               227.46001                       9.0709073
                  227.72                       10.797307
                  227.98                       12.621296
               228.24001                       14.487903
                   228.5                       16.089719
               228.75999                       17.118348
                  229.02                       17.514605
                  229.28                       17.523131
               229.53999                       17.564166
                   229.8                       18.026269
                  230.06                       19.053694
               230.32001                       20.422903
                  230.58                       21.641678
                  230.84                       22.257382
               231.10001                       22.118536
                  231.36                        21.39962
                  231.62                       20.454484
                  231.88                       19.642564
                  232.14                       19.192321
               232.39999                       19.128336
                  232.66                       19.290948
                  232.92                         19.4499
               233.17999                        19.44285
                  233.44                       19.243791
                   233.7                       18.933809
               233.96001                       18.619951
                  234.22                       18.362206
                  234.48                       18.147191
               234.74001                       17.913816
                     235                       17.604054
               235.25999                       17.202385
                  235.52                       16.737987
                  235.78                        16.25736
               236.03999                       15.791267
                   236.3                       15.337361
                  236.56                       14.869302
               236.82001                       14.360752
                  237.08                       13.805376
                  237.34                       13.220275
               237.60001                       12.632006
                  237.86                       12.057669
                  238.12                       11.494915
                  238.38                       10.926863
                  238.64                       10.336898
               238.89999                       9.7220708
                  239.16                       9.0948959
                  239.42                        8.474005
               239.67999                       7.8704889
                  239.94                        7.280907
                   240.2                       6.6909429
               240.46001                       6.0871535
                  240.72                       5.4673548
                  240.98                       4.8420925
               241.24001                       4.2269925
                   241.5                       3.6313457
               241.75999                       3.0514354
                  242.02                       2.4740384
                  242.28                       1.8861504
               242.53999                       1.2848751
                   242.8                      0.67961109
                  243.06                     0.085166083
               243.32001                     -0.48911619
                  243.58                      -1.0458587
                  243.84                      -1.5978472
               244.10001                      -2.1585237
                  244.36                      -2.7323143
                  244.62                      -3.3112955
                  244.88                       -3.880715
                  245.14                      -4.4301901
               245.39999                      -4.9603767
                  245.66                      -5.4832961
                  245.92                      -6.0132088
               246.17999                      -6.5565646
                  246.44                      -7.1073509
                   246.7                      -7.6511427
               246.96001                      -8.1755377
                  247.22                      -8.6790589
                  247.48                      -9.1722534
               247.74001                      -9.6701471
                     248                      -10.181701
               248.25999                       -10.70309
                  248.52                        -11.2206
                  248.78                      -11.720079
               249.03999                      -12.197208
                   249.3                      -12.660622
                  249.56                       -13.12584
               249.82001                      -13.604119
                  250.08                      -14.094579
                  250.34                      -14.584386
               250.60001                      -15.057964
                  250.86                      -15.507827
                  251.12                      -15.939824
                  251.38                      -16.369307
                  251.64                      -16.810044
               251.89999                       -17.26417
                  252.16                      -17.720645
                  252.42                      -18.162859
               252.67999                      -18.580101
                  252.94                      -18.975379
                   253.2                      -19.363334
               253.46001                      -19.759756
                  253.72                      -20.170497
                  253.98                       -20.58665
               254.24001                      -20.991377
                   254.5                      -21.371026
               254.75999                      -21.725104
                  255.02                      -22.066885
                  255.28                      -22.414077
               255.53999                      -22.776023
                   255.8                      -23.147258
                  256.06                      -23.511279
               256.32001                      -23.852026
               256.57999                       -24.16572
                  256.84                      -24.463788
               257.10001                      -24.765357
               257.35999                      -25.083698
                  257.62                      -25.416956
                  257.88                      -25.749615
               258.14001                      -26.063475
               258.39999                      -26.350836
                  258.66                      -26.620108
               258.92001                      -26.890582
               259.17999                      -27.178328
                  259.44                      -27.485082
               259.70001                      -27.796649
               259.95999                      -28.092425
                  260.22                      -28.360332
               260.48001                       -28.60529
               260.73999                      -28.845877
                     261                      -29.101707
               261.26001                      -29.379175
               261.51999                      -29.667302
                  261.78                       -29.94559
               262.04001                      -30.199018
               262.29999                      -30.429222
                  262.56                      -30.654293
               262.82001                      -30.896734
               263.07999                      -31.167922
                  263.34                        -31.4602
               263.60001                      -31.752914
               263.85999                      -32.027157
                  264.12                      -32.279437
                  264.38                      -32.524944
               264.64001                      -32.787117
               264.89999                      -33.080867
                  265.16                      -33.401775
               265.42001                      -33.728695
               265.67999                      -34.037913
                  265.94                      -34.319317
               266.20001                      -34.583071
               266.45999                      -34.851523
                  266.72                      -35.142273
               266.98001                      -35.454053
               267.23999                       -35.76524
                   267.5                      -36.047246
               267.76001                      -36.282366
               268.01999                      -36.474706
                  268.28                      -36.646282
