        Frequency / MHz                Port 1 [1]/arg,degrees
                  262.04                      -38.757258
                   262.3                      -38.686307
                  262.56                      -38.633428
                  262.82                      -38.612051
                  263.08                      -38.612395
                  263.34                      -38.608449
                   263.6                      -38.576406
                  263.86                      -38.511308
                  264.12                      -38.430061
                  264.38                      -38.358837
                  264.64                      -38.313779
                   264.9                      -38.288633
                  265.16                      -38.258188
                  265.42                      -38.195135
                  265.68                      -38.088244
                  265.94                      -37.948933
                   266.2                      -37.801752
                  266.46                      -37.665585
                  266.72                      -37.538845
                  266.98                      -37.399233
                  267.24                      -37.218357
                   267.5                      -36.980814
                  267.76                      -36.694224
                  268.02                      -36.383324
                  268.28                      -36.072383
                  268.54                      -35.768279
                   268.8                      -35.456204
                  269.06                      -35.111134
                  269.32                       -34.71691
                  269.58                      -34.279275
                  269.84                      -33.823549
                   270.1                      -33.378391
                  270.36                       -32.95674
                  270.62                      -32.547174
                  270.88                      -32.121815
                  271.14                      -31.655099
                   271.4                      -31.139951
                  271.66                      -30.589851
                  271.92                       -30.02552
                  272.18                      -29.455959
                  272.44                      -28.867982
                   272.7                       -28.23282
                  272.96                       -27.52639
                  273.22                      -26.749902
                  273.48                      -25.936823
                  273.74                      -25.141105
                     274                      -24.413746
                  274.26                      -23.782258
                  274.52                      -23.245703
                  274.78                      -22.787298
                  275.04                      -22.394415
                   275.3                      -22.070919
                  275.56                      -21.832949
                  275.82                      -21.691848
                  276.08                      -21.637719
                  276.34                      -21.637077
                   276.6                       -21.64784
                  276.86                      -21.641749
                  277.12                      -21.618314
                  277.38                       -21.60022
                  277.64                      -21.613271
                   277.9                      -21.664893
                  278.16                      -21.736431
                  278.42                      -21.794843
                  278.68                       -21.81536
                  278.94                      -21.798644
                   279.2                      -21.770004
                  279.46                      -21.761167
                  279.72                      -21.787468
                  279.98                      -21.836713
                  280.24                      -21.877901
                   280.5                      -21.883662
                  280.76                      -21.850206
                  281.02                      -21.800408
                  281.28                      -21.767815
                  281.54                      -21.772923
                   281.8                      -21.808622
                  282.06                      -21.845445
                  282.32                      -21.853007
                  282.58                      -21.822161
                  282.84                      -21.771837
                   283.1                      -21.735696
                  283.36                      -21.738111
                  283.62                      -21.776625
                  283.88                      -21.823659
                  284.14                      -21.846433
                   284.4                      -21.830654
                  284.66                      -21.790744
                  284.92                      -21.759289
                  285.18                      -21.763309
                  285.44                      -21.804422
                   285.7                      -21.857385
                  285.96                      -21.888249
                  286.22                      -21.878858
                  286.48                      -21.839679
                  286.74                      -21.801674
                     287                       -21.79322
                  287.26                      -21.818989
                  287.52                      -21.856471
                  287.78                      -21.872941
                  288.04                      -21.850196
                   288.3                      -21.798421
                  288.56                      -21.748753
                  288.82                      -21.730279
                  289.08                      -21.749272
                  289.34                      -21.787375
                   289.6                      -21.820904
                  289.86                      -21.845613
                  290.12                      -21.884368
                  290.38                      -21.965786
                  290.64                      -22.083732
                   290.9                      -22.165766
                  291.16                      -22.078666
                  291.42                      -21.677015
                  291.68                      -20.871297
                  291.94                      -19.678067
                   292.2                      -18.224335
                  292.46                      -16.701139
                  292.72                      -15.286207
                  292.98                       -14.07384
                  293.24                      -13.049455
                   293.5                      -12.121371
                  293.76                      -11.187476
                  294.02                      -10.194201
                  294.28                      -9.1539317
                  294.54                      -8.1167218
                   294.8                      -7.1213516
                  295.06                      -6.1613626
                  295.32                      -5.1884605
                  295.58                       -4.148201
                  295.84                      -3.0202636
                   296.1                      -1.8337319
                  296.36                     -0.64698287
                  296.62                      0.49267313
                  296.88                       1.5804903
                  297.14                       2.6545602
                   297.4                       3.7649802
                  297.66                       4.9344135
                  297.92                       6.1385741
                  298.18                       7.3204865
                  298.44                       8.4280552
                   298.7                       9.4481472
                  298.96                       10.413052
                  299.22                       11.374638
                  299.48                       12.364511
                  299.74                       13.368691
                     300                       14.334949

