        Frequency / MHz                Port 1 [1]/arg,degrees
                  230.84                       24.660557
                   231.1                       22.349776
                  231.36                       20.071978
                  231.62                       17.821506
                  231.88                       15.590324
                  232.14                       13.371759
                   232.4                       11.163735
                  232.66                       8.9708995
                  232.92                       6.8051836
                  233.18                       4.6846467
                  233.44                       2.6308174
                   233.7                      0.66511138
                  233.96                      -1.1948578
                  234.22                      -2.9382562
                  234.48                      -4.5626925
                  234.74                      -6.0743162
                     235                       -7.486442
                  235.26                      -8.8170453
                  235.52                      -10.085604
                  235.78                      -11.309807
                  236.04                      -12.502624
                   236.3                      -13.670206
                  236.56                       -14.81095
                  236.82                      -15.915946
                  237.08                      -16.970732
                  237.34                      -17.958083
                   237.6                      -18.861294
                  237.86                      -19.667342
                  238.12                      -20.369368
                  238.38                      -20.968094
                  238.64                      -21.472044
                   238.9                      -21.896626
                  239.16                      -22.262304
                  239.42                      -22.592163
                  239.68                      -22.909179
                  239.94                      -23.233553
                   240.2                      -23.580428
                  240.46                      -23.958328
                  240.72                      -24.368549
                  240.98                      -24.805657
                  241.24                      -25.259056
                   241.5                      -25.715381
                  241.76                       -26.16131
                  242.02                      -26.586292
                  242.28                      -26.984707
                  242.54                      -27.357103
                   242.8                      -27.710323
                  243.06                       -28.05655
                  243.32                      -28.411425
                  243.58                      -28.791523
                  243.84                       -29.21155
                   244.1                      -29.681678
                  244.36                      -30.205435
                  244.62                      -30.778555
                  244.88                       -31.38905
                  245.14                      -32.018595
                   245.4                       -32.64502
                  245.66                      -33.245507
                  245.92                      -33.799878
                  246.18                      -34.293413
                  246.44                      -34.718729
                   246.7                       -35.07651
                  246.96                       -35.37509
                  247.22                      -35.629064
                  247.48                      -35.857235
                  247.74                      -36.080204
                     248                      -36.317969
                  248.26                      -36.587854
                  248.52                      -36.903056
                  248.78                      -37.272039
                  249.04                      -37.698864
                   249.3                      -38.184412
                  249.56                      -38.728252
                  249.82                      -39.330785
                  250.08                      -39.995185
                  250.34                      -40.728692
                   250.6                      -41.542858
                  250.86                      -42.452544
                  251.12                      -43.473649
                  251.38                      -44.619766
                  251.64                      -45.898242
                   251.9                      -47.306359
                  252.16                      -48.828515
                  252.42                      -50.435307
                  252.68                       -52.08511
                  252.94                      -53.728134
                   253.2                      -55.312216
                  253.46                      -56.789059
                  253.72                      -58.119549
                  253.98                      -59.277166
                  254.24                       -60.24919
                   254.5                      -61.035965
                  254.76                      -61.648796
                  255.02                      -62.107115
                  255.28                      -62.435383
                  255.54                       -62.66005
                   255.8                      -62.806771
                  256.06                      -62.898024
                  256.32                      -62.951266
                  256.58                      -62.977774
                  256.84                      -62.982273
                   257.1                      -62.963408
                  257.36                      -62.914955
                  257.62                      -62.827599
                  257.88                      -62.690973
                  258.14                      -62.495636
                   258.4                      -62.234737
                  258.66                      -61.905122
                  258.92                      -61.507828
                  259.18                       -61.04791
                  259.44                       -60.53369
                   259.7                      -59.975512
                  259.96                      -59.384183
                  260.22                      -58.769279
                  260.48                      -58.137562
                  260.74                      -57.491738
                     261                      -56.829769
                  261.26                      -56.144869
                  261.52                      -55.426213
                  261.78                      -54.660263
                  262.04                      -53.832526
                   262.3                      -52.929485
                  262.56                      -51.940454
                  262.82                      -50.859128
                  263.08                      -49.684649
                  263.34                      -48.422049
                   263.6                      -47.081999
                  263.86                      -45.679842
                  264.12                      -44.233968
                  264.38                      -42.763695
                  264.64                      -41.286929
                   264.9                      -39.817964
                  265.16                      -38.365792
                  265.42                      -36.933265
                  265.68                      -35.517277
                  265.94                      -34.109981
                   266.2                      -32.700835
                  266.46                      -31.279145
                  266.72                      -29.836678
                  266.98                      -28.369891
                  267.24                      -26.881407
                   267.5                      -25.380433
                  267.76                      -23.882012
                  268.02                      -22.405154
                  268.28                      -20.970095
                  268.54                      -19.595116
                   268.8                       -18.29344
                  269.06                      -17.070759
                  269.32                      -15.923828
                  269.58                      -14.840395
                  269.84                      -13.800522
                   270.1                      -12.779094
                  270.36                      -11.749155
                  270.62                      -10.685571
                  270.88                      -9.5684627
                  271.14                      -8.3859142
                   271.4                       -7.135544
                  271.66                      -5.8247053
                  271.92                      -4.4692705
                  272.18                      -3.0911719
                  272.44                      -1.7150716
                   272.7                     -0.36468935
                  272.96                      0.94061882
                  273.22                       2.1884789
                  273.48                       3.3748977
                  273.74                       4.5042314
                     274                       5.5877382
                  274.26                       6.6409481
                  274.52                       7.6802622
                  274.78                       8.7193179
                  275.04                       9.7657036
                   275.3                       10.818559
                  275.56                       11.867466
                  275.82                       12.892825
                  276.08                       13.867673
                  276.34                       14.760683
                   276.6                       15.539915
                  276.86                       16.176847
                  277.12                       16.650196
                  277.38                       16.949163
                  277.64                       17.075754
                   277.9                       17.045926
                  278.16                       16.889338
                  278.42                       16.647582
                  278.68                       16.370948
                  278.94                       16.114056
                   279.2                       15.930932
                  279.46                       15.870299
                  279.72                         15.9718
                  279.98                       16.263644
                  280.24                       16.761857
                   280.5                       17.470939
                  280.76                       18.385562
                  281.02                       19.492796
                  281.28                       20.774395
                  281.54                       22.208778
                   281.8                       23.772443
                  282.06                       25.440766
                  282.32                       27.188237
                  282.58                       28.988347
                  282.84                       30.813352
                   283.1                       32.634187
                  283.36                       34.420701
                  283.62                       36.142303
                  283.88                       37.769021
                  284.14                       39.272851
                   284.4                       40.629294
                  284.66                       41.818938
                  284.92                       42.828964
                  285.18                       43.654472
                  285.44                       44.299471
                   285.7                       44.777336
                  285.96                       45.110454
                  286.22                       45.328812
                  286.48                       45.467352
                  286.74                       45.562201
                     287                       45.646181
                  287.26                       45.744323
                  287.52                       45.870191
                  287.78                       46.023729
                  288.04                       46.190982
                   288.3                       46.345679
                  288.56                       46.452358
                  288.82                       46.470586
                  289.08                       46.359829
                  289.34                       46.084639
                   289.6                       45.619824
                  289.86                       44.955157
                  290.12                       44.098882
                  290.38                       43.078971
                  290.64                       41.940993
                   290.9                       40.742025
                  291.16                       39.541129
                  291.42                       38.388299
                  291.68                       37.314541
                  291.94                       36.325504
                   292.2                       35.399874
                  292.46                       34.492459
                  292.72                       33.541019
                  292.98                       32.475814
                  293.24                       31.231046
                   293.5                       29.757592
                  293.76                       28.035886
                  294.02                       26.086633
                  294.28                        23.97553
                  294.54                       21.807912
                   294.8                       19.711802
                  295.06                       17.812892
                  295.32                       16.209351
                  295.58                       14.954439
                  295.84                        14.05066
                   296.1                       13.454002
                  296.36                       13.084141
                  296.62                        12.83667
                  296.88                       12.595064
                  297.14                        12.24172
                   297.4                       11.668408
                  297.66                       10.786741
                  297.92                       9.5387023
                  298.18                       7.9059863
                  298.44                       5.9151331
                   298.7                       3.6343601
                  298.96                       1.1593004
                  299.22                      -1.4108244
                  299.48                       -3.999897
                  299.74                      -6.5756118
                     300                      -9.1579346

