        Frequency / MHz                Port 1 [1]/abs,linear
                  285.18                        208.2166
                  285.44                       216.26884
                   285.7                       224.54515
                  285.96                       232.93036
                  286.22                       241.32545
                  286.48                        249.6647
                  286.74                       257.93121
                     287                       266.16683
                  287.26                       274.47341
                  287.52                       283.00428
                  287.78                       291.94714
                  288.04                       301.50153
                   288.3                        311.8539
                  288.56                       323.15313
                  288.82                       335.48782
                  289.08                       348.86637
                  289.34                       363.20128
                   289.6                       378.30092
                  289.86                       393.87441
                  290.12                       409.55638
                  290.38                       424.95637
                  290.64                       439.73008
                   290.9                       453.65836
                  291.16                       466.71091
                  291.42                       479.07105
                  291.68                       491.11071
                  291.94                       503.32176
                   292.2                        516.2224
                  292.46                       530.25807
                  292.72                       545.70935
                  292.98                       562.61148
                  293.24                       580.68963
                   293.5                        599.3221
                  293.76                       617.55822
                  294.02                       634.22636
                  294.28                       648.15263
                  294.54                       658.45957
                   294.8                       664.84623
                  295.06                       667.72425
                  295.32                       668.14315
                  295.58                       667.54907
                  295.84                        667.4941
                   296.1                       669.40127
                  296.36                       674.42613
                  296.62                        683.3989
                  296.88                       696.80739
                  297.14                       714.78522
                   297.4                       737.08719
                  297.66                       763.05596
                  297.92                       791.60907
                  298.18                       821.29645
                  298.44                        850.4803
                   298.7                       877.64702
                  298.96                       901.77643
                  299.22                       922.61539
                  299.48                       940.71087
                  299.74                       957.16688
                     300                       973.21557

